order_id,customer_id,order_name,order_date,order_amount
101,1,Laptop,2024-12-01,1200.50
102,2,Smartphone,2024-12-02,800.00
103,3,Tablet,2024-12-03,450.75
104,4,Headphones,2024-12-03,150.25
105,5,Monitor,2024-12-04,300.00
106,6,Keyboard,2024-12-05,50.00
107,7,Mouse,2024-12-05,25.00
108,8,Printer,2024-12-06,200.00
109,9,Desk,2024-12-07,350.00
110,10,Chair,2024-12-07,125.00
111,11,Camera,2024-12-08,900.00
112,12,Laptop Bag,2024-12-09,80.00
113,13,Router,2024-12-09,60.00
114,14,Smartwatch,2024-12-10,300.00
115,15,Power Bank,2024-12-10,40.00
116,16,External Hard Drive,2024-12-11,120.00
117,17,Flash Drive,2024-12-12,20.00
118,18,TV,2024-12-12,1500.00
119,19,Soundbar,2024-12-13,400.00
120,20,Air Purifier,2024-12-14,250.00
121,21,Bookshelf,2024-12-14,180.00
122,22,Coffee Maker,2024-12-15,75.00
123,23,Blender,2024-12-15,65.00
124,24,Vacuum Cleaner,2024-12-16,200.00
125,25,Microwave,2024-12-16,150.00
126,2,Smartphone Cover,2024-12-17,20.00
127,5,Monitor Stand,2024-12-17,30.00
128,8,Printer Ink,2024-12-18,50.00
129,14,Tablet Case,2024-12-18,25.00
130,22,Kitchen Scale,2024-12-19,35.00
